PriceSUM,path
1946.25,"[{""name"":LGA},{""flightID"":587,""class"":economy,""ticketID"":588,""airlineName"":19977},{""name"":ORD},{""name"":ORD},{""flightID"":151,""class"":economy,""ticketID"":152,""airlineName"":19977},{""name"":LAX}]"
1509.75,"[{""name"":IND},{""flightID"":195,""class"":economy,""ticketID"":196,""airlineName"":19977},{""name"":ORD},{""name"":ORD},{""flightID"":151,""class"":economy,""ticketID"":152,""airlineName"":19977},{""name"":LAX}]"
1689.75,"[{""name"":BNA},{""flightID"":807,""class"":economy,""ticketID"":808,""airlineName"":20304},{""name"":ORD},{""name"":ORD},{""flightID"":151,""class"":economy,""ticketID"":152,""airlineName"":19977},{""name"":LAX}]"
1741.35,"[{""name"":CMH},{""flightID"":415,""class"":firstClass,""ticketID"":418,""airlineName"":19977},{""name"":ORD},{""name"":ORD},{""flightID"":151,""class"":economy,""ticketID"":152,""airlineName"":19977},{""name"":LAX}]"
2938.35,"[{""name"":DEN},{""flightID"":243,""class"":business,""ticketID"":245,""airlineName"":19977},{""name"":CMH},{""name"":CMH},{""flightID"":415,""class"":firstClass,""ticketID"":418,""airlineName"":19977},{""name"":ORD},{""name"":ORD},{""flightID"":151,""class"":economy,""ticketID"":152,""airlineName"":19977},{""name"":LAX}]"
2639.1,"[{""name"":DEN},{""flightID"":243,""class"":economy,""ticketID"":244,""airlineName"":19977},{""name"":CMH},{""name"":CMH},{""flightID"":415,""class"":firstClass,""ticketID"":418,""airlineName"":19977},{""name"":ORD},{""name"":ORD},{""flightID"":151,""class"":economy,""ticketID"":152,""airlineName"":19977},{""name"":LAX}]"
1647.75,"[{""name"":CVG},{""flightID"":835,""class"":business,""ticketID"":837,""airlineName"":20304},{""name"":ORD},{""name"":ORD},{""flightID"":151,""class"":economy,""ticketID"":152,""airlineName"":19977},{""name"":LAX}]"
1692.75,"[{""name"":BNA},{""flightID"":811,""class"":economy,""ticketID"":812,""airlineName"":20304},{""name"":ORD},{""name"":ORD},{""flightID"":151,""class"":economy,""ticketID"":152,""airlineName"":19977},{""name"":LAX}]"
1987.75,"[{""name"":IAD},{""flightID"":551,""class"":business,""ticketID"":553,""airlineName"":19977},{""name"":ORD},{""name"":ORD},{""flightID"":151,""class"":economy,""ticketID"":152,""airlineName"":19977},{""name"":LAX}]"
2315.5,"[{""name"":BOS},{""flightID"":627,""class"":economy,""ticketID"":628,""airlineName"":19977},{""name"":IAD},{""name"":IAD},{""flightID"":551,""class"":business,""ticketID"":553,""airlineName"":19977},{""name"":ORD},{""name"":ORD},{""flightID"":151,""class"":economy,""ticketID"":152,""airlineName"":19977},{""name"":LAX}]"
2429.75,"[{""name"":BOS},{""flightID"":547,""class"":business,""ticketID"":549,""airlineName"":19977},{""name"":IAD},{""name"":IAD},{""flightID"":551,""class"":business,""ticketID"":553,""airlineName"":19977},{""name"":ORD},{""name"":ORD},{""flightID"":151,""class"":economy,""ticketID"":152,""airlineName"":19977},{""name"":LAX}]"
2512.15,"[{""name"":BOS},{""flightID"":627,""class"":firstClass,""ticketID"":630,""airlineName"":19977},{""name"":IAD},{""name"":IAD},{""flightID"":551,""class"":business,""ticketID"":553,""airlineName"":19977},{""name"":ORD},{""name"":ORD},{""flightID"":151,""class"":economy,""ticketID"":152,""airlineName"":19977},{""name"":LAX}]"
2319.25,"[{""name"":BOS},{""flightID"":547,""class"":economy,""ticketID"":548,""airlineName"":19977},{""name"":IAD},{""name"":IAD},{""flightID"":551,""class"":business,""ticketID"":553,""airlineName"":19977},{""name"":ORD},{""name"":ORD},{""flightID"":151,""class"":economy,""ticketID"":152,""airlineName"":19977},{""name"":LAX}]"
2518.15,"[{""name"":BOS},{""flightID"":547,""class"":firstClass,""ticketID"":550,""airlineName"":19977},{""name"":IAD},{""name"":IAD},{""flightID"":551,""class"":business,""ticketID"":553,""airlineName"":19977},{""name"":ORD},{""name"":ORD},{""flightID"":151,""class"":economy,""ticketID"":152,""airlineName"":19977},{""name"":LAX}]"
2424.75,"[{""name"":BOS},{""flightID"":627,""class"":business,""ticketID"":629,""airlineName"":19977},{""name"":IAD},{""name"":IAD},{""flightID"":551,""class"":business,""ticketID"":553,""airlineName"":19977},{""name"":ORD},{""name"":ORD},{""flightID"":151,""class"":economy,""ticketID"":152,""airlineName"":19977},{""name"":LAX}]"
1600.5,"[{""name"":CMH},{""flightID"":415,""class"":economy,""ticketID"":416,""airlineName"":19977},{""name"":ORD},{""name"":ORD},{""flightID"":151,""class"":economy,""ticketID"":152,""airlineName"":19977},{""name"":LAX}]"
2797.5,"[{""name"":DEN},{""flightID"":243,""class"":business,""ticketID"":245,""airlineName"":19977},{""name"":CMH},{""name"":CMH},{""flightID"":415,""class"":economy,""ticketID"":416,""airlineName"":19977},{""name"":ORD},{""name"":ORD},{""flightID"":151,""class"":economy,""ticketID"":152,""airlineName"":19977},{""name"":LAX}]"
2498.25,"[{""name"":DEN},{""flightID"":243,""class"":economy,""ticketID"":244,""airlineName"":19977},{""name"":CMH},{""name"":CMH},{""flightID"":415,""class"":economy,""ticketID"":416,""airlineName"":19977},{""name"":ORD},{""name"":ORD},{""flightID"":151,""class"":economy,""ticketID"":152,""airlineName"":19977},{""name"":LAX}]"
1702.95,"[{""name"":CVG},{""flightID"":831,""class"":firstClass,""ticketID"":834,""airlineName"":20304},{""name"":ORD},{""name"":ORD},{""flightID"":151,""class"":economy,""ticketID"":152,""airlineName"":19977},{""name"":LAX}]"
1885.35,"[{""name"":BNA},{""flightID"":767,""class"":firstClass,""ticketID"":770,""airlineName"":20304},{""name"":ORD},{""name"":ORD},{""flightID"":151,""class"":economy,""ticketID"":152,""airlineName"":19977},{""name"":LAX}]"
2121.75,"[{""name"":CLT},{""flightID"":603,""class"":firstClass,""ticketID"":606,""airlineName"":19977},{""name"":ORD},{""name"":ORD},{""flightID"":151,""class"":economy,""ticketID"":152,""airlineName"":19977},{""name"":LAX}]"
1832.25,"[{""name"":IAD},{""flightID"":551,""class"":economy,""ticketID"":552,""airlineName"":19977},{""name"":ORD},{""name"":ORD},{""flightID"":151,""class"":economy,""ticketID"":152,""airlineName"":19977},{""name"":LAX}]"
2160.0,"[{""name"":BOS},{""flightID"":627,""class"":economy,""ticketID"":628,""airlineName"":19977},{""name"":IAD},{""name"":IAD},{""flightID"":551,""class"":economy,""ticketID"":552,""airlineName"":19977},{""name"":ORD},{""name"":ORD},{""flightID"":151,""class"":economy,""ticketID"":152,""airlineName"":19977},{""name"":LAX}]"
2274.25,"[{""name"":BOS},{""flightID"":547,""class"":business,""ticketID"":549,""airlineName"":19977},{""name"":IAD},{""name"":IAD},{""flightID"":551,""class"":economy,""ticketID"":552,""airlineName"":19977},{""name"":ORD},{""name"":ORD},{""flightID"":151,""class"":economy,""ticketID"":152,""airlineName"":19977},{""name"":LAX}]"
2356.65,"[{""name"":BOS},{""flightID"":627,""class"":firstClass,""ticketID"":630,""airlineName"":19977},{""name"":IAD},{""name"":IAD},{""flightID"":551,""class"":economy,""ticketID"":552,""airlineName"":19977},{""name"":ORD},{""name"":ORD},{""flightID"":151,""class"":economy,""ticketID"":152,""airlineName"":19977},{""name"":LAX}]"
2163.75,"[{""name"":BOS},{""flightID"":547,""class"":economy,""ticketID"":548,""airlineName"":19977},{""name"":IAD},{""name"":IAD},{""flightID"":551,""class"":economy,""ticketID"":552,""airlineName"":19977},{""name"":ORD},{""name"":ORD},{""flightID"":151,""class"":economy,""ticketID"":152,""airlineName"":19977},{""name"":LAX}]"
2362.65,"[{""name"":BOS},{""flightID"":547,""class"":firstClass,""ticketID"":550,""airlineName"":19977},{""name"":IAD},{""name"":IAD},{""flightID"":551,""class"":economy,""ticketID"":552,""airlineName"":19977},{""name"":ORD},{""name"":ORD},{""flightID"":151,""class"":economy,""ticketID"":152,""airlineName"":19977},{""name"":LAX}]"
2269.25,"[{""name"":BOS},{""flightID"":627,""class"":business,""ticketID"":629,""airlineName"":19977},{""name"":IAD},{""name"":IAD},{""flightID"":551,""class"":economy,""ticketID"":552,""airlineName"":19977},{""name"":ORD},{""name"":ORD},{""flightID"":151,""class"":economy,""ticketID"":152,""airlineName"":19977},{""name"":LAX}]"
2290.75,"[{""name"":DEN},{""flightID"":467,""class"":business,""ticketID"":469,""airlineName"":19977},{""name"":ORD},{""name"":ORD},{""flightID"":151,""class"":economy,""ticketID"":152,""airlineName"":19977},{""name"":LAX}]"
2781.25,"[{""name"":LAS},{""flightID"":643,""class"":economy,""ticketID"":644,""airlineName"":19977},{""name"":DEN},{""name"":DEN},{""flightID"":467,""class"":business,""ticketID"":469,""airlineName"":19977},{""name"":ORD},{""name"":ORD},{""flightID"":151,""class"":economy,""ticketID"":152,""airlineName"":19977},{""name"":LAX}]"
